title;url;main_language;technologies
Github Profile;https://www.github.com/aymanapatel;Github;Github
Gitlab Profile;https://www.gitlab.com/aymanapatel;Gitlab;Gitlab
Atlassian Confluence;https://aymanpatel97.atlassian.net/wiki/home;Confluence;Confluence
Quarkus;https://www.notion.so/Quarkus-705cb8e5aee747618f0d58ca386fcf52;Java;Java
Reading List;https://www.notion.so/Reading-List-b63408de181143208fca667c09efa0ce;Notion;Notion
Competitve Programming;https://www.notion.so/Competitive-Programming-00acb1e53ee94568b20cf2f510039851;Notes;Notion
Python Scripts;https://github.com/aymanapatel/python-scripts;Python;python
Java Notes;https://github.com/aymanapatel/java;Code;java
Golang Notes;https://github.com/aymanapatel/golang;Golang;golang
Spring Notes;https://github.com/aymanapatel/spring;Java;java
Golang Microservices;https://github.com/aymanapatel/golang-microservices;GoLang;golang,microservices
Javascript Typescript;https://github.com/aymanapatel/javascript-tyescript;Javascript;javascript
Everyday Learning;https://github.com/aymanapatel/everyday-learning;Code;Notes